#,Material Name,Formula,Category,CAS No.,T_min (K),T_max (K),A,B,C,D,E,a0,a1,a2,a3,Poly R²,Cp @298K (J/kg·K),Molar Mass (g/mol),Density (kg/m³),Data Source,Phase / Notes
20,Lead,Pb,Metals & Alloys,7439-92-1,298,601,25.084,4.86168,3.9701,-1.17366,0,121.062,0.0234637,1.92E-05,-5.66E-09,1,129.58,207.2,11340,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
21,Silver,Ag,Metals & Alloys,7440-22-4,298,1235,25.3548,0.61,-0.09709,0.01248,-0.02664,227.984,0.0269951,-2.35E-05,8.13E-09,0.998882,235.01,107.868,10490,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
22,Gold,Au,Metals & Alloys,7440-57-5,298,1337,25.3962,0.1941,-0.02067,0.01245,-0.0074,127.937,0.00385389,-2.97E-06,1.02E-09,0.999216,128.96,196.967,19300,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
23,Platinum,Pt,Metals & Alloys,04-06-7440,298,1800,25.8678,0.693,-0.1343,0.0161,-0.06277,126.078,0.0189497,-1.30E-05,3.30E-09,0.994296,132.61,195.084,21450,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
24,Palladium,Pd,Metals & Alloys,03-05-7440,298,1828,25.9786,0.8467,-0.09477,0.00985,-0.05762,233.294,0.0332413,-2.09E-05,5.25E-09,0.996822,244.13,106.42,12023,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
25,Molybdenum,Mo,Metals & Alloys,7439-98-7,298,1900,24.72736,3.960425,-1.270706,1.153065,-0.00088,257.507,0.0416745,-1.36E-05,1.21E-08,1,249.17,95.96,10280,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid 298-1900 K
26,Molybdenum,Mo,Metals & Alloys,7439-98-7,1900,2896,38.363,-4.733,3.096,-0.619,-9.869,212.018,0.109596,-1.79E-05,-8.65E-10,0.99998,249.17,95.96,10280,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid 1900-2896 K
27,Tungsten,W,Refractories,7440-33-7,298,1900,23.9593,2.63968,1.25775,-0.254642,-0.048407,125.246,0.0259255,-2.03E-06,8.33E-10,0.999908,132.23,183.84,19300,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid 298-1900 K
28,Tungsten,W,Refractories,7440-33-7,1900,3680,-22.5764,90.2798,-44.2715,7.17663,-24.0974,-312.389,0.631884,-0.000279429,4.27E-08,0.999997,132.23,183.84,19300,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid 1900-3680 K
29,Niobium,Nb,Refractories,01-03-7440,298,2750,21.6006,11.6355,-6.18638,1.61931,0.084,245.026,0.103242,-5.40E-05,1.51E-08,0.999852,266.4,92.906,8570,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
30,Tantalum,Ta,Refractories,7440-25-7,298,1300,20.691,17.352,-16.007,6,0,114.348,0.095895,-8.85E-05,3.32E-08,1,139.82,180.948,16690,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid 298-1300 K
31,Zirconium,Zr,Metals & Alloys,7440-67-7,298,1135,27.97869,-0.06635,10.80038,-3.48381,-0.06873,283.376,0.073507,3.50E-05,-6.58E-09,0.999968,276.13,91.224,6520,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, alpha 298-1135 K"
32,Zirconium,Zr,Metals & Alloys,7440-67-7,1135,2128,41.84,0,0,0,0,458.651,-3.55E-15,1.88E-18,-3.01E-22,-1.496667,458.65,91.224,6520,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, beta 1135-2128 K"
33,Hafnium,Hf,Refractories,7440-58-6,298,2500,22.5755,10.8576,-1.90504,0.02333,0.00997,127.323,0.0592462,-9.70E-06,-6.25E-11,0.999998,143.99,178.49,13310,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, alpha"
34,Beryllium,Be,Metals & Alloys,7440-41-7,298,1527,21.20695,5.69768,0.96811,-0.00138,-0.5872,819.114,4.67243,-0.00355141,1.10E-06,0.997492,1817.54,9.0122,1848,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
35,Rhenium,Re,Refractories,7440-15-5,298,3458,25.3756,2.048,-0.3843,0.0608,-0.2601,120.468,0.0344416,-1.31E-05,1.97E-09,0.989117,136.3,186.207,21020,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
36,Iridium,Ir,Metals & Alloys,7439-88-5,298,2719,25.5089,-0.00381,0.01056,-0.00039,-0.0227,131.056,0.00290638,-1.63E-06,3.08E-10,0.949935,132.71,192.217,22560,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
37,Ruthenium,Ru,Metals & Alloys,7440-18-8,298,2607,24.8412,3.99068,-1.4941,0.22196,-0.23692,211.727,0.101636,-5.18E-05,9.26E-09,0.989813,238.05,101.07,12370,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
38,Calcium,Ca,Metals & Alloys,7440-70-2,298,1100,19.9598,10.4026,15.0886,-5.9519,0,498.024,0.259559,0.000376481,-1.49E-07,1,646.99,40.078,1550,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, alpha+beta"
39,Sodium,Na,Metals & Alloys,7440-23-5,298,370,72.677,-8.80225,-731.106,1415.39,-0.9454,-572.805,22.0644,-0.0823193,0.000101922,0.999999,1224.45,22.99,971,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid 298-370 K
40,Potassium,K,Metals & Alloys,07-09-7440,298,336,-62.888,-3226,14645,-16230,15.996,39266.9,-340.711,0.985877,-0.000929441,1,756.05,39.098,862,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid 298-336 K
41,Lithium,Li,Metals & Alloys,7439-93-2,298,453,170,-882.764,1977,-1487.49,-2,3051.04,-11.3112,0.0514832,-4.82E-05,0.999973,3548.48,6.941,534,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid 298-453 K
42,Mercury (liquid),Hg,Metals & Alloys,7439-97-6,234,600,27.496,0.001,-0.0003,0.0001,-0.0188,130.245,0.0351173,-6.56E-05,4.24E-08,0.998989,139.49,200.592,13534,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Liquid (melts 234 K)
43,Cadmium,Cd,Metals & Alloys,7440-43-9,298,594,26.02018,0.1908,-0.1352,0.0352,-0.00406,229.408,0.0113229,-1.77E-05,1.03E-08,0.999949,231.47,112.411,8650,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
44,Gallium,Ga,Metals & Alloys,7440-55-3,298,303,102,-348,603,-361,-1,-125.498,5.58098,-0.0177383,1.82E-05,1,373.48,69.723,5910,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid 298-303 K
45,Indium,In,Metals & Alloys,7440-74-6,298,430,26.746,0.005,-0.0004,5.00E-05,-0.169,117.68,0.640465,-0.00132795,9.74E-07,0.999996,232.89,114.818,7310,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
46,Thallium,Tl,Metals & Alloys,7440-28-0,298,577,26.32,1.453,-0.3151,0.0605,-0.0432,116.348,0.0659873,-0.000104506,6.34E-08,0.999966,128.78,204.38,11850,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
47,Bismuth,Bi,Metals & Alloys,7440-69-9,298,544,26.476,4.9652,-3.9367,1.2347,0.01657,131.628,-0.000396589,2.49E-05,-2.19E-08,0.999994,122.12,208.98,9780,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
48,Antimony,Sb,Metals & Alloys,7440-36-0,298,904,23.0523,7.0691,0,0,-0.1915,129.062,0.278382,-0.000289496,1.30E-07,0.999794,207.21,121.76,6697,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
49,Boron,B,Others,7440-42-8,298,2350,9.7356,38.3409,-20.1481,3.67144,-0.2865,478.165,4.37637,-0.00240143,4.52E-07,0.999131,1025.81,10.811,2340,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, beta"
50,Carbon (Graphite),C,Others,7782-42-5,298,4000,-0.4904,38.8513,-26.4498,5.84768,-0.00858,-47.9463,3.24409,-0.00220606,4.87E-07,1,709.1,12.011,2267,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, graphite"
51,Carbon (Diamond),C,Others,7782-40-3,298,1200,-3.1073,55.0552,-54.2306,20.9474,0.02154,-205.98,4.42168,-0.00434007,1.68E-06,0.999997,509.2,12.011,3513,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, diamond"
52,Sulfur,S,Others,7704-34-9,298,369,-1.99184,39.5362,-22.4626,5.01676,-0.05718,-224.514,2.21074,-0.00290382,1.92E-06,1,708.05,32.06,2070,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, rhombic"
53,Arsenic,As,Others,7440-38-2,298,1090,24.6428,2.48157,-0.12797,0.00769,-0.15499,262.403,0.250151,-0.000252561,9.82E-08,0.99889,328.88,74.922,5727,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, grey"
54,Uranium,U,Others,7440-61-1,298,941,26.923,4.65206,-0.21974,-1.20569,-0.14981,89.8861,0.102424,-0.000106919,4.12E-08,0.999475,116.25,238.029,19100,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, alpha"
55,Thorium,Th,Others,7440-29-1,298,1633,27.0948,-0.082,0,0,-0.2462,93.2742,0.0588511,-5.10E-05,1.45E-08,0.973639,116.75,232.038,11700,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
56,Alumina (Al₂O₃),Al2O3,Ceramics,1344-28-1,298,2327,102.429,38.7498,-15.9109,2.6282,-3.0076,530.31,1.31844,-0.000768942,1.55E-07,0.986773,772.84,101.961,3987,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, alpha-corundum"
57,Magnesia (MgO),MgO,Ceramics,1309-48-4,298,3105,47.26,5.6816,-0.8727,0.1043,-1.054,847.2,0.663826,-0.000291261,4.67E-08,0.981479,918.52,40.304,3580,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, periclase"
58,Silica — Quartz (SiO₂),SiO2,Ceramics,14808-60-7,298,847,-6.0766,251.6755,-324.7964,168.5604,0.0025,-99.4413,4.18235,-0.00539695,2.80E-06,1,741.97,60.083,2650,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, alpha-quartz"
59,Silica — Quartz high-T (SiO₂),SiO2,Ceramics,14808-60-7,847,1996,58.75,10.2706,-0.13156,0.02575,0.02544,980.366,0.167134,-1.15E-07,3.62E-11,1,1109.63,60.083,2650,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, beta-quartz 847-1996 K"
60,Zirconia — monoclinic (ZrO₂),ZrO2,Ceramics,1314-23-4,298,1478,69.2,8.5483,-0.8629,0.2464,-1.3828,289.372,0.801791,-0.000686606,2.11E-07,0.994032,455.45,123.218,5680,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, monoclinic"
61,Zirconia — tetragonal (ZrO₂),ZrO2,Ceramics,1314-23-4,1478,2950,71,0,0,0,-0.43,568.112,0.00760764,-2.63E-06,3.19E-10,0.999828,576.21,123.218,6100,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, tetragonal 1478-2950 K"
62,Silicon Carbide (SiC) — low T,SiC,Ceramics,409-21-2,298,1000,20.5586,64.5796,-52.9883,16.9581,-0.7818,-166.758,3.94813,-0.00418956,1.62E-06,0.999523,667.4,40.096,3210,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, alpha 298-1000 K"
63,Silicon Carbide (SiC) — high T,SiC,Ceramics,409-21-2,1000,4000,45.8929,5.18878,-0.49835,0.02491,-4.9994,817.017,0.430688,-0.000109853,1.12E-08,0.999302,1013.57,40.096,3210,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, alpha 1000-4000 K"
64,Boron Carbide (B₄C),B4C,Ceramics,12069-32-8,298,2743,95.9985,23.1651,-0.4096,0.0814,-4.3952,632.852,2.36249,-0.00111786,2.04E-07,0.988326,966.97,55.255,2520,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
65,Silicon Nitride (Si₃N₄),Si3N4,Ceramics,12033-89-5,298,1900,109.162,32.9914,-9.55302,1.15824,-5.38146,37.8984,1.92034,-0.00135991,3.31E-07,0.985726,719.97,140.284,3440,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, alpha"
66,Boron Nitride (BN),BN,Ceramics,10043-11-5,298,3000,19.4968,38.471,-18.7765,3.15,-0.12,723.573,1.65234,-0.000810807,1.36E-07,0.99981,792.17,24.818,2100,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, hexagonal h-BN"
67,Aluminium Nitride (AlN) — low T,AlN,Ceramics,24304-00-5,298,900,17.2326,85.6381,-83.2729,29.6343,-0.5379,-84.5216,3.94026,-0.00447093,1.82E-06,0.999804,734.34,40.989,3260,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid 298-900 K
68,Aluminium Nitride (AlN) — high T,AlN,Ceramics,24304-00-5,900,3000,42.0357,8.9288,-0.9797,0.0766,-2.6971,772.553,0.507167,-0.000141987,1.83E-08,0.999885,1351.58,40.989,3260,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid 900-3000 K
69,Titanium Nitride (TiN),TiN,Ceramics,25583-20-4,298,3220,50.4072,0.5965,2.9448,-0.305,-1.2097,579.088,0.378133,-0.000136717,2.42E-08,0.991622,601.71,61.874,5430,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
70,Zirconium Nitride (ZrN),ZrN,Ceramics,25658-42-8,298,3225,46.4579,7.0063,0.0078,-0.0007,-0.7205,359.094,0.195303,-6.42E-05,1.02E-08,0.995907,384.3,105.231,7090,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
71,Zirconium Carbide (ZrC),ZrC,Ceramics,12070-14-3,298,3805,51.0272,3.6856,-0.199,0.0289,-1.3038,362.84,0.217006,-8.06E-05,1.10E-08,0.971414,362.67,103.235,6730,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
72,Zirconium Diboride (ZrB₂),ZrB2,Ceramics,12045-64-6,298,3323,66.9624,5.665,1.4339,-0.1517,-1.836,402.706,0.341553,-0.000129212,2.05E-08,0.988058,426.42,112.846,6090,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
73,Calcium Oxide (CaO),CaO,Ceramics,1305-78-8,298,3200,49.9545,4.8873,-0.354,0.071,-0.604,760.317,0.292225,-0.000109422,1.77E-08,0.99331,750.58,56.077,3350,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
74,Titania (TiO₂) — rutile,TiO2,Ceramics,13463-67-7,298,2130,67.2988,18.7573,-11.3953,2.4501,-1.4838,519.251,0.915513,-0.000619717,1.39E-07,0.979931,689.15,79.866,4230,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, rutile"
75,Chromium Oxide (Cr₂O₃),Cr2O3,Ceramics,1308-38-9,298,2603,119.798,9.037,-0.478,0.049,-5.977,216.11,1.10469,-0.000626615,1.19E-07,0.959756,781.5,151.99,5220,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
76,Zinc Oxide (ZnO),ZnO,Ceramics,1314-13-2,298,2248,45.2553,8.693,-0.414,0.054,-0.59,435.817,0.350508,-0.000168717,3.61E-08,0.997227,494.54,81.389,5610,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
77,Hematite (Fe₂O₃),Fe2O3,Ceramics,1317-60-8,298,950,93.43,108.354,-50,11.51,-0.74,415.621,1.27988,-0.00107722,4.03E-07,0.999935,650.39,159.688,5240,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, alpha"
78,Magnetite (Fe₃O₄),Fe3O4,Ceramics,1317-61-9,298,900,146.393,200.83,-112.557,28.964,-0.783,502.154,1.34439,-0.00111476,4.09E-07,0.999974,651.74,231.533,5180,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
79,Spinel (MgAl₂O₄),MgAl2O4,Ceramics,1302-67-6,298,2408,148.543,24.679,-5.408,0.57,-6.02,384.261,1.44788,-0.000847764,1.69E-07,0.975031,814.67,142.266,3580,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
80,Nickel Oxide (NiO),NiO,Ceramics,1313-99-1,298,600,47.28,11.58,-2.173,0.269,-0.057,589.778,0.355328,-0.000371169,2.08E-07,0.999997,593.24,74.692,6670,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid 298-600 K
81,Cobalt Oxide (CoO),CoO,Ceramics,1307-96-6,298,1145,50.316,12.947,-1.522,0.173,-0.562,441.162,0.901774,-0.000834262,3.09E-07,0.999123,706.91,74.932,6440,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
82,Copper(II) Oxide (CuO),CuO,Ceramics,1317-38-0,298,1599,48.69,8.405,-0.337,0.035,-0.575,448.939,0.52259,-0.000368968,1.06E-07,0.997652,531.52,79.545,6310,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
83,Copper(I) Oxide (Cu₂O),Cu2O,Ceramics,1317-39-1,298,1505,62.784,18.789,-5.603,0.792,-0.746,314.382,0.462033,-0.000341926,9.73E-08,0.998011,444.33,143.091,6000,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
84,Manganese Dioxide (MnO₂),MnO2,Ceramics,1313-13-9,298,808,69.434,22.419,-10.034,1.97,-0.325,639.386,0.880278,-0.000996376,4.52E-07,0.999876,621.83,86.937,5030,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
85,Barium Titanate (BaTiO₃),BaTiO3,Ceramics,12047-27-7,298,1733,121.754,14.267,-2.131,0.206,-5.237,51.0356,1.20224,-0.000948155,2.55E-07,0.983787,443.5,233.192,6020,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
86,Calcium Titanate (CaTiO₃),CaTiO3,Ceramics,12049-50-2,298,1633,113.578,9.632,-1.65,0.164,-5.214,-13.8008,2.21098,-0.00185481,5.24E-07,0.983141,720.67,135.943,4040,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, perovskite"
87,Beryllia (BeO),BeO,Ceramics,1304-56-9,298,2000,52,0.53,0.045,-0.004,-3.27,-329.561,5.31552,-0.00389747,9.34E-07,0.961183,1020.31,25.012,3010,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
88,Silica — Cristobalite (SiO₂),SiO2,Ceramics,14464-46-1,523,1700,58.75,15.425,0,0,0,977.814,0.256728,-1.22E-18,7.86E-22,1,1013.43,60.083,2330,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, beta-cristobalite"
89,Forsterite (Mg₂SiO₄),Mg2SiO4,Refractories,15118-03-3,298,2163,147.157,19.36,-3.142,0.283,-6.722,225.697,1.84564,-0.00120491,2.67E-07,0.975474,843.89,140.694,3210,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
90,Zircon (ZrSiO₄),ZrSiO4,Refractories,10101-52-7,298,2123,119.558,14.82,-2.47,0.241,-5.164,160.398,1.11836,-0.000742512,1.67E-07,0.976123,538.6,183.309,4560,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
91,Sillimanite (Al₂SiO₅),Al2SiO5,Refractories,12141-45-6,298,2000,165.57,26.81,-4.65,0.444,-8.97,1.95189,2.40709,-0.00167966,3.98E-07,0.978802,766.88,162.046,3250,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
92,Andalusite (Al₂SiO₅),Al2SiO5,Refractories,12183-80-1,298,1760,164.92,27.32,-4.72,0.451,-8.65,-86.3534,2.81536,-0.0021816,5.77E-07,0.984082,757.56,162.046,3150,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
93,Calcium Aluminate (CaAl₂O₄),CaAl2O4,Refractories,12042-68-1,298,1873,153.7,22.63,-3.54,0.319,-7.46,49.7857,2.26435,-0.0016666,4.18E-07,0.981845,773.42,158.039,2980,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
94,Enstatite / Steatite (MgSiO₃),MgSiO3,Refractories,13776-74-4,298,1830,82.836,12.742,-1.537,0.144,-4.111,7.60008,2.03605,-0.00152199,3.90E-07,0.983679,678.47,100.387,3190,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, enstatite"
95,Sodium Aluminate (NaAlO₂),NaAlO2,Refractories,11138-49-1,298,2200,73.51,18.34,-3.189,0.341,-3.16,244.96,1.56513,-0.000955198,2.07E-07,0.985636,822.12,81.971,3500,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
96,Magnesite (MgCO₃),MgCO3,Refractories,546-93-0,298,750,71.28,29.782,-10.148,1.368,-0.5,574.198,1.46006,-0.00176451,8.61E-07,0.999907,895.7,84.314,3010,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid; decomposes ~763 K
